capital,"100,000",,,,,,,,
,,,,,,,,,
date,Close,220 SMA,230 SMA,Signal ,Entry/Exit point,Position,Cash,,Buy&Hold
7/20/2016,200.7187,185.6144291,185.207033,1,0,506.8128315,0,,526.7141517
7/21/2016,199.9605,185.7312614,185.2989587,1,0,506.8128315,0,,526.7141517
7/22/2016,200.862,185.8321623,185.4265904,1,0,506.8128315,0,,526.7141517
7/25/2016,200.3165,185.9416882,185.560977,1,0,506.8128315,0,,526.7141517
7/26/2016,200.4089,186.0471514,185.6664574,1,0,506.8128315,0,,526.7141517
7/27/2016,200.1963,186.1479877,185.7533891,1,0,506.8128315,0,,526.7141517
7/28/2016,200.4274,186.253,185.8410113,1,0,506.8128315,0,,526.7141517
7/29/2016,200.751,186.349325,185.9367278,1,0,506.8128315,0,,526.7141517
8/1/2016,200.5846,186.4379427,186.05442,1,0,506.8128315,0,,526.7141517
8/2/2016,199.2987,186.522525,186.1522017,1,0,506.8128315,0,,526.7141517
8/3/2016,199.8819,186.6233577,186.2515748,1,0,506.8128315,0,,526.7141517
8/4/2016,200.0943,186.7206905,186.3639091,1,0,506.8128315,0,,526.7141517
8/5/2016,201.7311,186.835965,186.4642017,1,0,506.8128315,0,,526.7141517
8/8/2016,201.6109,186.9519336,186.5745935,1,0,506.8128315,0,,526.7141517
8/9/2016,201.7311,187.0712186,186.68122,1,0,506.8128315,0,,526.7141517
8/10/2016,201.2318,187.1884823,186.7821743,1,0,506.8128315,0,,526.7141517
8/11/2016,202.1657,187.3304982,186.8901787,1,0,506.8128315,0,,526.7141517
8/12/2016,201.99,187.4710123,186.9877026,1,0,506.8128315,0,,526.7141517
8/15/2016,202.5725,187.5996618,187.0811104,1,0,506.8128315,0,,526.7141517
8/16/2016,201.5277,187.72133,187.1717065,1,0,506.8128315,0,,526.7141517
8/17/2016,201.9068,187.832855,187.2769591,1,0,506.8128315,0,,526.7141517
8/18/2016,202.3598,187.9320923,187.37991,1,0,506.8128315,0,,526.7141517
8/19/2016,202.064,188.0327964,187.49162,1,0,506.8128315,0,,526.7141517
8/22/2016,202.0547,188.1267605,187.6044761,1,0,506.8128315,0,,526.7141517
8/23/2016,202.4616,188.2151318,187.7217509,1,0,506.8128315,0,,526.7141517
8/24/2016,201.426,188.2983,187.8347604,1,0,506.8128315,0,,526.7141517
