Date,Bullish,Neutral,Bearish,Bull 8 wk mov avg,Bull 16 wk mov avg,Bear 8 wk mov avg,Bear 16 wk mov avg,Neutral 8 wk mov avg,Neutral 16 wk mov avg,Bull-Bear Spread,Close,Close in 4 wks,Close in 8 wks
10-5-17,0.36,0.32,0.33,0.33,0.37,0.32,0.30,0.34,0.37,0.03,2537.74,2579.36,2626.07
10-12-17,0.40,0.33,0.27,0.34,0.36,0.31,0.30,0.34,0.36,0.13,2555.24,2594.38,2629.27
10-19-17,0.38,0.34,0.28,0.35,0.36,0.30,0.30,0.35,0.36,0.10,2561.26,2564.62,2662.85
10-26-17,0.40,0.27,0.33,0.37,0.35,0.29,0.31,0.34,0.35,0.07,2557.15,2602.42,2679.25
11-2-17,0.45,0.26,0.29,0.39,0.34,0.28,0.31,0.33,0.34,0.16,2579.36,2626.07,2682.62
11-9-17,0.45,0.32,0.23,0.40,0.33,0.29,0.30,0.32,0.33,0.22,2594.38,2629.27,2713.06
11-16-17,0.29,0.35,0.35,0.38,0.33,0.30,0.31,0.32,0.33,-0.06,2564.62,2662.85,2748.23
11-23-17,0.35,0.35,0.29,0.38,0.33,0.30,0.31,0.32,0.33,0.06,2602.42,2679.25,2802.56
11-30-17,0.36,0.32,0.32,0.39,0.33,0.29,0.31,0.32,0.33,0.04,2626.07,2682.62,2837.54
12-7-17,0.37,0.29,0.34,0.38,0.33,0.30,0.31,0.31,0.33,0.03,2629.27,2713.06,2823.81
12-14-17,0.45,0.27,0.28,0.39,0.33,0.30,0.30,0.31,0.33,0.17,2662.85,2748.23,2681.66
12-21-17,0.50,0.24,0.26,0.40,0.32,0.29,0.29,0.30,0.32,0.25,2679.25,2802.56,2698.63
12-28-17,0.53,0.27,0.21,0.41,0.31,0.28,0.28,0.30,0.31,0.32,2682.62,2837.54,2701.33
1-4-18,0.60,0.25,0.16,0.43,0.31,0.28,0.28,0.29,0.31,0.44,2713.06,2823.81,2713.83
1-11-18,0.49,0.26,0.25,0.46,0.30,0.26,0.28,0.28,0.30,0.24,2748.23,2681.66,2726.80
1-18-18,0.54,0.24,0.21,0.48,0.29,0.25,0.27,0.27,0.29,0.33,2802.56,2698.63,2749.48
1-25-18,0.45,0.31,0.24,0.49,0.29,0.24,0.27,0.27,0.29,0.21,2837.54,2701.33,2711.93
2-1-18,0.45,0.26,0.29,0.50,0.29,0.24,0.27,0.26,0.29,0.16,2823.81,2713.83,2605.00
2-8-18,0.37,0.28,0.35,0.49,0.28,0.25,0.27,0.26,0.28,0.02,2681.66,2726.80,2644.69
2-15-18,0.49,0.30,0.21,0.49,0.29,0.24,0.27,0.27,0.29,0.27,2698.63,2749.48,2642.19
2-22-18,0.45,0.33,0.23,0.48,0.29,0.24,0.26,0.28,0.29,0.22,2701.33,2711.93,2708.64
3-1-18,0.37,0.39,0.23,0.45,0.30,0.25,0.26,0.30,0.30,0.14,2713.83,2605.00,2639.40
3-8-18,0.26,0.45,0.28,0.42,0.30,0.26,0.26,0.32,0.30,-0.02,2726.80,2644.69,2635.67
3-15-18,0.37,0.42,0.21,0.40,0.31,0.26,0.25,0.34,0.31,0.16,2749.48,2642.19,2697.79
3-22-18,0.33,0.38,0.28,0.39,0.31,0.26,0.25,0.35,0.31,0.05,2711.93,2708.64,2722.46
3-29-18,0.32,0.33,0.35,0.37,0.31,0.27,0.25,0.36,0.31,-0.03,2605.00,2639.40,2733.29
4-5-18,0.32,0.31,0.37,0.36,0.31,0.27,0.26,0.36,0.31,-0.05,2644.69,2635.67,2724.01
4-12-18,0.26,0.31,0.43,0.34,0.32,0.30,0.27,0.37,0.32,-0.17,2642.19,2697.79,2772.35
4-19-18,0.38,0.33,0.29,0.33,0.32,0.31,0.27,0.37,0.32,0.09,2708.64,2722.46,2775.63
4-26-18,0.37,0.38,0.26,0.33,0.33,0.31,0.28,0.36,0.33,0.11,2639.40,2733.29,2767.32
5-3-18,0.28,0.41,0.30,0.33,0.34,0.31,0.28,0.36,0.34,-0.02,2635.67,2724.01,2699.63
5-10-18,0.34,0.41,0.26,0.32,0.35,0.32,0.29,0.36,0.35,0.08,2697.79,2772.35,2713.22
5-17-18,0.37,0.43,0.21,0.33,0.36,0.31,0.28,0.36,0.36,0.16,2722.46,2775.63,2774.02
5-24-18,0.39,0.36,0.25,0.34,0.36,0.29,0.28,0.37,0.36,0.13,2733.29,2767.32,2815.62
5-31-18,0.35,0.39,0.26,0.34,0.37,0.28,0.28,0.38,0.37,0.09,2724.01,2699.63,2846.07
6-7-18,0.39,0.34,0.27,0.36,0.37,0.26,0.28,0.38,0.37,0.12,2772.35,2713.22,2813.36
6-14-18,0.45,0.34,0.22,0.37,0.37,0.25,0.28,0.38,0.37,0.23,2775.63,2774.02,2857.70
6-21-18,0.39,0.35,0.26,0.37,0.37,0.25,0.28,0.38,0.37,0.13,2767.32,2815.62,2818.37
6-28-18,0.28,0.31,0.41,0.37,0.36,0.27,0.29,0.37,0.36,-0.12,2699.63,2846.07,2861.82
7-5-18,0.28,0.33,0.39,0.36,0.36,0.28,0.30,0.36,0.36,-0.11,2713.22,2813.36,2914.04
7-12-18,0.43,0.28,0.29,0.37,0.35,0.29,0.30,0.34,0.35,0.14,2774.02,2857.70,2888.60
7-19-18,0.35,0.40,0.25,0.36,0.35,0.29,0.29,0.34,0.35,0.10,2815.62,2818.37,2888.92
7-26-18,0.32,0.42,0.27,0.36,0.36,0.29,0.29,0.35,0.36,0.05,2846.07,2861.82,2907.95
8-2-18,0.29,0.39,0.32,0.35,0.37,0.30,0.28,0.35,0.37,-0.03,2813.36,2914.04,2905.97
8-9-18,0.36,0.33,0.31,0.34,0.37,0.31,0.28,0.35,0.37,0.05,2857.70,2888.60,2925.51
8-16-18,0.36,0.35,0.29,0.33,0.36,0.32,0.28,0.35,0.36,0.07,2818.37,2888.92,2785.68
8-23-18,0.38,0.34,0.27,0.35,0.36,0.30,0.28,0.35,0.36,0.11,2861.82,2907.95,2809.21
8-30-18,0.43,0.32,0.24,0.37,0.35,0.28,0.28,0.35,0.35,0.19,2914.04,2905.97,2656.10
9-6-18,0.42,0.31,0.26,0.37,0.35,0.28,0.29,0.36,0.35,0.16,2888.60,2925.51,2711.74
9-13-18,0.32,0.35,0.33,0.36,0.35,0.29,0.29,0.35,0.35,-0.01,2888.92,2785.68,2813.89
9-20-18,0.32,0.36,0.32,0.36,0.34,0.29,0.29,0.34,0.34,0.00,2907.95,2809.21,2701.58
9-27-18,0.36,0.33,0.31,0.37,0.34,0.29,0.30,0.34,0.34,0.05,2905.97,2656.10,2649.93
10-4-18,0.46,0.29,0.25,0.38,0.34,0.28,0.30,0.33,0.34,0.21,2925.51,2711.74,2743.79
