Date,Monthly Close
11/30/16,2198.81
12/30/16,2238.83
01/31/17,2278.87
02/28/17,2363.64
03/31/17,2362.72
04/28/17,2384.20
05/31/17,2411.80
06/30/17,2423.41
07/31/17,2470.30
08/31/17,2471.65
09/29/17,2519.36
10/31/17,2575.26
11/30/17,2647.58
12/29/17,2673.61
02/28/18,2713.83
03/29/18,2640.87
04/30/18,2648.05
05/31/18,2705.27
06/29/18,2718.37
07/31/18,2816.29
08/31/18,2901.52
09/28/18,2913.98
10/31/18,2711.74
11/30/18,2760.17
12/31/18,2506.85
01/31/19,2704.10
02/28/19,2784.49
03/29/19,2834.40
04/30/19,2945.83
05/31/19,2752.06
06/28/19,2941.76
07/31/19,2980.38
08/30/19,2926.46
09/30/19,2976.74
10/31/19,3037.56
11/29/19,3140.98
12/31/19,3230.78
01/31/20,3225.52
02/28/20,2954.22
03/31/20,2584.59
04/30/20,2912.43
05/29/20,3044.31
06/29/20,3053.24
