Date,Bull-Bear Spread,Close,SMA Signal,SMA1,SMA40,Sell Signals,Buy/Sell SMA,Buy Signals
10/8/2015,0.09,1995.83,0,1995.83,2060.387,0,0,0
10/15/2015,0.07,1994.24,0,1994.24,2059.5955,0,0,0
10/22/2015,0.11,2018.94,0,2018.94,2059.78725,0,0,0
10/29/2015,0.2,2090.35,0,2090.35,2061.243,0,0,0
11/5/2015,0.2,2102.31,0,2102.31,2063.74675,0,0,0
11/12/2015,0.11,2075,0,2075,2064.371,0,0,0
11/19/2015,0,2083.58,0,2083.58,2064.74725,0,0,0
11/26/2015,0.06,2090.11,0,2090.11,2064.508,0,0,0
12/3/2015,0.08,2079.51,0,2079.51,2063.64925,0,0,0
12/10/2015,-0.01,2047.62,0,2047.62,2062.3765,0,0,0
12/17/2015,-0.16,2073.07,0,2073.07,2063.19725,0,0,0
12/24/2015,-0.05,2064.29,0,2064.29,2062.317,0,0,0
12/31/2015,0.01,2063.36,0,2063.36,2062.37475,0,0,0
1/7/2016,-0.16,1990.26,0,1990.26,2060.639,0,0,0
1/14/2016,-0.28,1890.28,0,1890.28,2055.8485,0,0,1
1/21/2016,-0.27,1859.33,0,1859.33,2049.666,0,0,1
1/28/2016,-0.1,1882.95,0,1882.95,2044.04075,0,0,0
2/4/2016,-0.07,1912.53,0,1912.53,2039.18275,0,0,0
2/11/2016,-0.29,1851.86,0,1851.86,2033.4755,0,0,1
2/18/2016,-0.1,1926.82,0,1926.82,2029.184,0,0,0
2/25/2016,0,1929.8,0,1929.8,2024.28275,0,0,0
3/3/2016,0.03,1986.45,0,1986.45,2020.857,0,0,0
3/10/2016,0.13,1989.26,0,1989.26,2017.73675,0,0,0
3/17/2016,0.03,2027.22,0,2027.22,2015.78725,0,0,0
3/24/2016,0.1,2036.71,0,2036.71,2014.194,0,0,0
3/31/2016,0.01,2063.95,0,2063.95,2013.07825,0,0,0
4/7/2016,0.11,2066.66,0,2066.66,2012.80925,0,0,0
4/14/2016,0.03,2082.42,0,2082.42,2013.70275,0,0,0
4/21/2016,0.09,2102.4,0,2102.4,2013.57775,0,0,0
4/28/2016,-0.01,2095.15,0,2095.15,2013.10275,0,0,0
5/5/2016,-0.08,2051.12,0,2051.12,2011.6665,0,0,0
5/12/2016,-0.11,2064.46,0,2064.46,2010.782,0,0,0
5/19/2016,-0.15,2047.63,0,2047.63,2009.8215,0,0,0
5/26/2016,-0.12,2090.54,0,2090.54,2010.09475,0,0,0
6/2/2016,0.01,2099.33,0,2099.33,2014.06525,0,0,0
6/9/2016,0,2112.13,0,2112.13,2018.147,0,0,0
6/16/2016,-0.12,2071.5,0,2071.5,2021.3835,0,0,0
6/23/2016,-0.13,2085.45,0,2085.45,2023.637,0,0,0
6/30/2016,-0.05,2070.77,0,2070.77,2026.232,0,0,0
7/7/2016,0.04,2099.73,0,2099.73,2031.623,0,0,0
7/14/2016,0.12,2152.43,0,2152.43,2035.538,0,0,0
7/21/2016,0.09,2173.02,0,2173.02,2040.0075,0,0,0
7/28/2016,0.03,2166.58,0,2166.58,2043.6985,0,0,0
8/4/2016,0.03,2163.79,0,2163.79,2045.5345,0,0,0
8/11/2016,0.05,2175.49,0,2175.49,2047.364,0,0,0
8/18/2016,0.09,2182.22,0,2182.22,2050.0445,0,0,0
8/25/2016,0,2175.44,0,2175.44,2052.341,0,0,0
9/1/2016,-0.03,2170.86,0,2170.86,2054.35975,0,0,0
